;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
Lista de Entes Habilitados/Inabilitados da Complementação da União-VAAT 2026;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
UF;Ente Federado;Código IBGE;Veficação  § 4º do art. 13 da  Lei nº 14.113/20;Pendência identificada;;;;;;;;;;;;
MA;Santa Luzia do Paruá;2110039;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Santa Quitéria do Maranhão;2110104;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Santa Rita;2110203;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Santana do Maranhão;2110237;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Santo Amaro do Maranhão;2110278;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Santo Antônio dos Lopes;2110302;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Benedito do Rio Preto;2110401;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Bento;2110500;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Bernardo;2110609;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Domingos do Azeitão;2110658;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Domingos do Maranhão;2110708;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Félix de Balsas;2110807;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Francisco do Brejão;2110856;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Francisco do Maranhão;2110906;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São João Batista;2111003;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São João do Carú;2111029;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São João do Paraíso;2111052;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São João do Soter;2111078;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São João dos Patos;2111102;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São José de Ribamar;2111201;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São José dos Basílios;2111250;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Luís;2111300;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Luís Gonzaga do Maranhão;2111409;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Mateus do Maranhão;2111508;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Pedro da Água Branca;2111532;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Pedro dos Crentes;2111573;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Raimundo das Mangabeiras;2111607;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Raimundo do Doca Bezerra;2111631;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Roberto;2111672;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;São Vicente Ferrer;2111706;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Satubinha;2111722;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Senador Alexandre Costa;2111748;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Senador La Rocque;2111763;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Serrano do Maranhão;2111789;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Sítio Novo;2111805;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Sucupira do Norte;2111904;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Sucupira do Riachão;2111953;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Tasso Fragoso;2112001;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Timbiras;2112100;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Timon;2112209;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Trizidela do Vale;2112233;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Tufilândia;2112274;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Tuntum;2112308;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Turiaçu;2112407;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Turilândia;2112456;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Tutóia;2112506;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Urbano Santos;2112605;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Vargem Grande;2112704;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Viana;2112803;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Vila Nova dos Martírios;2112852;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Vitória do Mearim;2112902;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Vitorino Freire;2113009;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MA;Zé Doca;2114007;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Abadia dos Dourados;3100104;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Abaeté;3100203;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Abre Campo;3100302;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Acaiaca;3100401;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Açucena;3100500;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Água Boa;3100609;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Água Comprida;3100708;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Aguanil;3100807;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Águas Formosas;3100906;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Águas Vermelhas;3101003;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Aimorés;3101102;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Aiuruoca;3101201;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Alagoa;3101300;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Albertina;3101409;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Além Paraíba;3101508;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Alfenas;3101607;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Alfredo Vasconcelos;3101631;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Almenara;3101706;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Alpercata;3101805;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Alpinópolis;3101904;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Alterosa;3102001;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Alto Caparaó;3102050;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Alto Jequitibá;3153509;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Alto Rio Doce;3102100;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Alvarenga;3102209;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Alvinópolis;3102308;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Alvorada de Minas;3102407;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Amparo do Serra;3102506;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Andradas;3102605;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Andrelândia;3102803;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Angelândia;3102852;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Antônio Carlos;3102902;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Antônio Dias;3103009;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Antônio Prado de Minas;3103108;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Araçaí;3103207;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Aracitaba;3103306;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Araçuaí;3103405;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Araguari;3103504;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Arantina;3103603;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Araponga;3103702;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Araporã;3103751;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Arapuá;3103801;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Araújos;3103900;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Araxá;3104007;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Arceburgo;3104106;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Arcos;3104205;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Areado;3104304;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Argirita;3104403;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Aricanduva;3104452;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Arinos;3104502;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Astolfo Dutra;3104601;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Ataléia;3104700;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Augusto de Lima;3104809;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Baependi;3104908;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Baldim;3105004;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bambuí;3105103;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bandeira;3105202;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bandeira do Sul;3105301;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Barão de Cocais;3105400;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Barão de Monte Alto;3105509;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Barbacena;3105608;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Barra Longa;3105707;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Barroso;3105905;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bela Vista de Minas;3106002;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Belmiro Braga;3106101;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Belo Horizonte;3106200;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Belo Oriente;3106309;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Belo Vale;3106408;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Berilo;3106507;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Berizal;3106655;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bertópolis;3106606;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Betim;3106705;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bias Fortes;3106804;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bicas;3106903;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Biquinhas;3107000;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Boa Esperança;3107109;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bocaina de Minas;3107208;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bocaiúva;3107307;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bom Despacho;3107406;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bom Jardim de Minas;3107505;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bom Jesus da Penha;3107604;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bom Jesus do Amparo;3107703;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bom Jesus do Galho;3107802;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bom Repouso;3107901;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bom Sucesso;3108008;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bonfim;3108107;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bonfinópolis de Minas;3108206;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bonito de Minas;3108255;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Borda da Mata;3108305;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Botelhos;3108404;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Botumirim;3108503;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Brás Pires;3108701;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Brasilândia de Minas;3108552;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Brasília de Minas;3108602;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Braúnas;3108800;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Brazópolis;3108909;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Brumadinho;3109006;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bueno Brandão;3109105;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Buenópolis;3109204;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Bugre;3109253;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Buritis;3109303;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Buritizeiro;3109402;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cabeceira Grande;3109451;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cabo Verde;3109501;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cachoeira da Prata;3109600;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cachoeira de Minas;3109709;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cachoeira de Pajeú;3102704;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cachoeira Dourada;3109808;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Caetanópolis;3109907;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Caeté;3110004;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Caiana;3110103;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cajuri;3110202;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Caldas;3110301;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Camacho;3110400;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Camanducaia;3110509;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cambuí;3110608;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cambuquira;3110707;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Campanário;3110806;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Campanha;3110905;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Campestre;3111002;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Campina Verde;3111101;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Campo Azul;3111150;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Campo Belo;3111200;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Campo do Meio;3111309;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Campo Florido;3111408;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Campos Altos;3111507;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Campos Gerais;3111606;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cana Verde;3111903;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Canaã;3111705;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Canápolis;3111804;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Candeias;3112000;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cantagalo;3112059;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Caparaó;3112109;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Capela Nova;3112208;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Capelinha;3112307;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Capetinga;3112406;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Capim Branco;3112505;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Capinópolis;3112604;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Capitão Andrade;3112653;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Capitão Enéas;3112703;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Capitólio;3112802;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Caputira;3112901;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Caraí;3113008;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Caranaíba;3113107;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carandaí;3113206;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carangola;3113305;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Caratinga;3113404;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carbonita;3113503;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Careaçu;3113602;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carlos Chagas;3113701;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carmésia;3113800;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carmo da Cachoeira;3113909;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carmo da Mata;3114006;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carmo de Minas;3114105;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carmo do Cajuru;3114204;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carmo do Paranaíba;3114303;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carmo do Rio Claro;3114402;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carmópolis de Minas;3114501;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carneirinho;3114550;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carrancas;3114600;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carvalhópolis;3114709;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Carvalhos;3114808;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Casa Grande;3114907;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cascalho Rico;3115003;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cássia;3115102;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cataguases;3115300;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Catas Altas;3115359;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Catas Altas da Noruega;3115409;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Catuji;3115458;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Catuti;3115474;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Caxambu;3115508;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cedro do Abaeté;3115607;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Central de Minas;3115706;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Centralina;3115805;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Chácara;3115904;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Chalé;3116001;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Chapada do Norte;3116100;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Chapada Gaúcha;3116159;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Chiador;3116209;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cipotânea;3116308;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Claraval;3116407;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Claro dos Poções;3116506;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cláudio;3116605;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Coimbra;3116704;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Coluna;3116803;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Comendador Gomes;3116902;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Comercinho;3117009;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Conceição da Aparecida;3117108;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Conceição da Barra de Minas;3115201;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Conceição das Alagoas;3117306;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Conceição das Pedras;3117207;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Conceição de Ipanema;3117405;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Conceição do Mato Dentro;3117504;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Conceição do Pará;3117603;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Conceição do Rio Verde;3117702;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Conceição dos Ouros;3117801;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cônego Marinho;3117836;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Confins;3117876;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Congonhal;3117900;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Congonhas;3118007;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Congonhas do Norte;3118106;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Conquista;3118205;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Conselheiro Lafaiete;3118304;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Conselheiro Pena;3118403;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Consolação;3118502;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Contagem;3118601;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Coqueiral;3118700;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Coração de Jesus;3118809;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cordisburgo;3118908;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cordislândia;3119005;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Corinto;3119104;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Coroaci;3119203;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Coromandel;3119302;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Coronel Fabriciano;3119401;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Coronel Murta;3119500;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Coronel Pacheco;3119609;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Coronel Xavier Chaves;3119708;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Córrego Danta;3119807;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Córrego do Bom Jesus;3119906;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Córrego Fundo;3119955;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Córrego Novo;3120003;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Couto de Magalhães de Minas;3120102;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Crisólita;3120151;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cristais;3120201;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cristália;3120300;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cristiano Otoni;3120409;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cristina;3120508;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Crucilândia;3120607;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cruzeiro da Fortaleza;3120706;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cruzília;3120805;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Cuparaque;3120839;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Curral de Dentro;3120870;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Curvelo;3120904;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Datas;3121001;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Delfim Moreira;3121100;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Delfinópolis;3121209;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Delta;3121258;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Descoberto;3121308;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Desterro de Entre Rios;3121407;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Desterro do Melo;3121506;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Diamantina;3121605;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Diogo de Vasconcelos;3121704;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Dionísio;3121803;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Divinésia;3121902;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Divino;3122009;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Divino das Laranjeiras;3122108;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Divinolândia de Minas;3122207;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
MG;Divinópolis;3122306;Habilitado para o cálculo do VAAT.;;;;;;;;;;;;;
